"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 26 10:04:05 BOT 2019","Fri Apr 26 10:04:09 BOT 2019","3846","","","","","","Update Epic",""
"passed","Fri Apr 26 10:03:14 BOT 2019","Fri Apr 26 10:03:18 BOT 2019","3837","","","","","","Update Epic too long name",""
"passed","Fri Apr 26 10:01:59 BOT 2019","Fri Apr 26 10:02:02 BOT 2019","3055","","","","","","Create a new Epic with name and verify",""
"passed","Fri Apr 26 10:05:17 BOT 2019","Fri Apr 26 10:05:19 BOT 2019","1474","","","","","","Update the Week start day with Start_date in the project -- @1.3 ",""
"passed","Fri Apr 26 10:04:16 BOT 2019","Fri Apr 26 10:04:17 BOT 2019","1079","","","","","","Access a user's projects with the same account_id",""
"passed","Fri Apr 26 10:01:52 BOT 2019","Fri Apr 26 10:01:53 BOT 2019","1036","","","","","","Error try get an account by id of other user account",""
"passed","Fri Apr 26 10:03:26 BOT 2019","Fri Apr 26 10:03:28 BOT 2019","2171","","","","","","Create a new Epic with name and short description.",""
"passed","Fri Apr 26 10:01:51 BOT 2019","Fri Apr 26 10:01:52 BOT 2019","476","","","","","","Get account by id that not exist -- @1.1 ",""
"passed","Fri Apr 26 10:02:27 BOT 2019","Fri Apr 26 10:02:29 BOT 2019","2866","","","","","","Update Epic name",""
"passed","Fri Apr 26 10:03:47 BOT 2019","Fri Apr 26 10:03:51 BOT 2019","3120","","","","","","Update Epic short description",""
"passed","Fri Apr 26 10:05:56 BOT 2019","Fri Apr 26 10:05:58 BOT 2019","1233","","","","","","Get Stories by by id of project for bullk",""
"passed","Fri Apr 26 10:05:14 BOT 2019","Fri Apr 26 10:05:15 BOT 2019","1111","","","","","","Update the parameter of ""project_type"" of project -- @1.3 ",""
"passed","Fri Apr 26 10:04:16 BOT 2019","Fri Apr 26 10:04:16 BOT 2019","654","","","","","","Access a user's projects",""
"passed","Fri Apr 26 10:03:43 BOT 2019","Fri Apr 26 10:03:47 BOT 2019","3636","","","","","","Update Epic long description",""
"passed","Fri Apr 26 10:03:37 BOT 2019","Fri Apr 26 10:03:40 BOT 2019","2960","","","","","","Update Epic long name",""
"passed","Fri Apr 26 10:05:05 BOT 2019","Fri Apr 26 10:05:06 BOT 2019","1169","","","","","","Update the integer param of ""number_of_done_iterations_to_show"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:03:57 BOT 2019","Fri Apr 26 10:03:59 BOT 2019","2167","","","","","","Create a new Epic",""
"passed","Fri Apr 26 10:04:51 BOT 2019","Fri Apr 26 10:04:53 BOT 2019","1419","","","","","","Update the boolean param of ""enable_tasks"" of project -- @1.1 ",""
"failed","Fri Apr 26 10:04:28 BOT 2019","Fri Apr 26 10:04:28 BOT 2019","549","","","","","",": Update the name of project with extreme characters in name -- @1.2 ",""
"passed","Fri Apr 26 10:06:12 BOT 2019","Fri Apr 26 10:06:14 BOT 2019","2036","","","","","","Delete Stories by Id",""
"passed","Fri Apr 26 10:04:09 BOT 2019","Fri Apr 26 10:04:13 BOT 2019","4053","","","","","","Get all Epics",""
"passed","Fri Apr 26 10:05:00 BOT 2019","Fri Apr 26 10:05:01 BOT 2019","1259","","","","","","Update the integer param of ""initial_velocity"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:02:31 BOT 2019","Fri Apr 26 10:02:34 BOT 2019","2887","","","","","","Update Epic description",""
"passed","Fri Apr 26 10:05:03 BOT 2019","Fri Apr 26 10:05:05 BOT 2019","1158","","","","","","Update the integer param of ""velocity_averaged_over"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:05:34 BOT 2019","Fri Apr 26 10:05:36 BOT 2019","2299","","","","","","Update the specific project",""
"passed","Fri Apr 26 10:04:53 BOT 2019","Fri Apr 26 10:04:54 BOT 2019","1585","","","","","","Update the boolean param of ""enable_tasks"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:02:57 BOT 2019","Fri Apr 26 10:02:58 BOT 2019","1945","","","","","","Create a new Epic with name, empty description and empty label.",""
"passed","Fri Apr 26 10:04:40 BOT 2019","Fri Apr 26 10:04:41 BOT 2019","1176","","","","","","Update the ""point scale"" of project with 49 characters and 12 values",""
"passed","Fri Apr 26 10:04:02 BOT 2019","Fri Apr 26 10:04:05 BOT 2019","2783","","","","","","Get Epic",""
"passed","Fri Apr 26 10:05:28 BOT 2019","Fri Apr 26 10:05:28 BOT 2019","670","","","","","","Access a user's projects",""
"passed","Fri Apr 26 10:04:13 BOT 2019","Fri Apr 26 10:04:16 BOT 2019","2908","","","","","","Delete epic",""
"passed","Fri Apr 26 10:03:02 BOT 2019","Fri Apr 26 10:03:08 BOT 2019","6195","","","","","","Update Epic empty name",""
"passed","Fri Apr 26 10:05:54 BOT 2019","Fri Apr 26 10:05:56 BOT 2019","2160","","","","","","Get all Stories by id of project",""
"passed","Fri Apr 26 10:01:37 BOT 2019","Fri Apr 26 10:01:38 BOT 2019","618","","","","","","Get the accounts",""
"passed","Fri Apr 26 10:04:29 BOT 2019","Fri Apr 26 10:04:31 BOT 2019","1146","","","","","","Update the week start day of project with all of days of the week -- @1.2 ",""
"passed","Fri Apr 26 10:04:27 BOT 2019","Fri Apr 26 10:04:28 BOT 2019","1239","","","","","",": Update the name of project with extreme characters in name -- @1.1 ",""
"passed","Fri Apr 26 10:02:02 BOT 2019","Fri Apr 26 10:02:05 BOT 2019","2942","","","","","","Create a new Epic with name, description and label name.",""
"passed","Fri Apr 26 10:05:53 BOT 2019","Fri Apr 26 10:05:54 BOT 2019","871","","","","","","Post Stories by by id of project",""
"failed","Fri Apr 26 10:01:53 BOT 2019","Fri Apr 26 10:01:55 BOT 2019","2271","","","","","","Create a membership for a account",""
"passed","Fri Apr 26 10:05:16 BOT 2019","Fri Apr 26 10:05:17 BOT 2019","1121","","","","","","Update the Week start day with Start_date in the project -- @1.2 ",""
"passed","Fri Apr 26 10:05:28 BOT 2019","Fri Apr 26 10:05:29 BOT 2019","1194","","","","","","Access a user's projects with the same account_id",""
"passed","Fri Apr 26 10:04:32 BOT 2019","Fri Apr 26 10:04:34 BOT 2019","2084","","","","","","Update the week start day of project with all of days of the week -- @1.4 ",""
"passed","Fri Apr 26 10:03:40 BOT 2019","Fri Apr 26 10:03:43 BOT 2019","3169","","","","","","Update Epic short name",""
"passed","Fri Apr 26 10:05:06 BOT 2019","Fri Apr 26 10:05:07 BOT 2019","1172","","","","","","Update the integer param of ""number_of_done_iterations_to_show"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:05:47 BOT 2019","Fri Apr 26 10:05:49 BOT 2019","1223","","","","","","Get Stories by Id",""
"passed","Fri Apr 26 10:02:53 BOT 2019","Fri Apr 26 10:02:55 BOT 2019","1764","","","","","","Create a new Epic with name and boolean value description.",""
"passed","Fri Apr 26 10:04:39 BOT 2019","Fri Apr 26 10:04:40 BOT 2019","1428","","","","","","Update the week start day of project with all of days of the week -- @1.7 ",""
"passed","Fri Apr 26 10:05:43 BOT 2019","Fri Apr 26 10:05:44 BOT 2019","1467","","","","","","Get Stories by Id and with two parameters",""
"passed","Fri Apr 26 10:03:23 BOT 2019","Fri Apr 26 10:03:26 BOT 2019","2475","","","","","","Create a new Epic with name and long description.",""
"passed","Fri Apr 26 10:05:15 BOT 2019","Fri Apr 26 10:05:16 BOT 2019","1306","","","","","","Update the Week start day with Start_date in the project -- @1.1 ",""
"passed","Fri Apr 26 10:05:30 BOT 2019","Fri Apr 26 10:05:32 BOT 2019","1688","","","","","","Create a new empty project",""
"passed","Fri Apr 26 10:05:13 BOT 2019","Fri Apr 26 10:05:14 BOT 2019","1099","","","","","","Update the parameter of ""project_type"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:04:59 BOT 2019","Fri Apr 26 10:05:00 BOT 2019","1275","","","","","","Update the integer field of the param of ""iteration_length"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:01:43 BOT 2019","Fri Apr 26 10:01:48 BOT 2019","5765","","","","","","Get account membership",""
"passed","Fri Apr 26 10:05:19 BOT 2019","Fri Apr 26 10:05:20 BOT 2019","1117","","","","","","Update the Week start day with Start_date in the project -- @1.4 ",""
"passed","Fri Apr 26 10:05:07 BOT 2019","Fri Apr 26 10:05:08 BOT 2019","1152","","","","","","Update the boolean of the param of ""atom_enabled"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:05:10 BOT 2019","Fri Apr 26 10:05:12 BOT 2019","1151","","","","","","Update the boolean of the param of ""enable_incoming_emails"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:02:48 BOT 2019","Fri Apr 26 10:02:50 BOT 2019","2113","","","","","","Create a new Epic with name and comments with boolean value",""
"passed","Fri Apr 26 10:02:17 BOT 2019","Fri Apr 26 10:02:21 BOT 2019","3854","","","","","","Create a new Epic related to before Epic",""
"passed","Fri Apr 26 10:06:27 BOT 2019","Fri Apr 26 10:06:30 BOT 2019","2903","","","","","","Update a Workspace its project_ids",""
"passed","Fri Apr 26 10:03:59 BOT 2019","Fri Apr 26 10:04:02 BOT 2019","2982","","","","","","Get Epic from project",""
"passed","Fri Apr 26 10:04:45 BOT 2019","Fri Apr 26 10:04:46 BOT 2019","1147","","","","","","Update the boolean the param of ""bugs_and_chores_are_estimatable"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:05:50 BOT 2019","Fri Apr 26 10:05:51 BOT 2019","1233","","","","","","Get Stories by Id with before",""
"passed","Fri Apr 26 10:06:18 BOT 2019","Fri Apr 26 10:06:21 BOT 2019","2614","","","","","","Create a new workspace",""
"passed","Fri Apr 26 10:04:28 BOT 2019","Fri Apr 26 10:04:29 BOT 2019","1095","","","","","","Update the week start day of project with all of days of the week -- @1.1 ",""
"passed","Fri Apr 26 10:03:21 BOT 2019","Fri Apr 26 10:03:23 BOT 2019","2278","","","","","","Create a new Epic with short name",""
"failed","Fri Apr 26 10:01:50 BOT 2019","Fri Apr 26 10:01:51 BOT 2019","459","","","","","","Get account by id invalid -- @1.4 ",""
"passed","Fri Apr 26 10:05:09 BOT 2019","Fri Apr 26 10:05:10 BOT 2019","1201","","","","","","Update the boolean of the param of ""enable_incoming_emails"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:04:36 BOT 2019","Fri Apr 26 10:04:39 BOT 2019","3134","","","","","","Update the week start day of project with all of days of the week -- @1.6 ",""
"passed","Fri Apr 26 10:03:51 BOT 2019","Fri Apr 26 10:03:54 BOT 2019","3170","","","","","","Update Epic empty description",""
"passed","Fri Apr 26 10:06:05 BOT 2019","Fri Apr 26 10:06:08 BOT 2019","3227","","","","","","Get Stories of a project",""
"passed","Fri Apr 26 10:04:55 BOT 2019","Fri Apr 26 10:04:56 BOT 2019","1291","","","","","","Update the boolean of the param of ""public"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:04:19 BOT 2019","Fri Apr 26 10:04:21 BOT 2019","2229","","","","","","Access the content of a specific project",""
"failed","Fri Apr 26 10:01:51 BOT 2019","Fri Apr 26 10:01:51 BOT 2019","449","","","","","","Get account by id invalid -- @1.5 ",""
"passed","Fri Apr 26 10:05:02 BOT 2019","Fri Apr 26 10:05:03 BOT 2019","1120","","","","","","Update the integer param of ""velocity_averaged_over"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:01:38 BOT 2019","Fri Apr 26 10:01:38 BOT 2019","605","","","","","","Get a account summaries",""
"failed","Fri Apr 26 10:05:49 BOT 2019","Fri Apr 26 10:05:50 BOT 2019","1307","","","","","","Get Stories by Id with after",""
"passed","Fri Apr 26 10:06:17 BOT 2019","Fri Apr 26 10:06:18 BOT 2019","468","","","","","","Get all the Workspaces",""
"passed","Fri Apr 26 10:04:31 BOT 2019","Fri Apr 26 10:04:32 BOT 2019","1419","","","","","","Update the week start day of project with all of days of the week -- @1.3 ",""
"passed","Fri Apr 26 10:05:26 BOT 2019","Fri Apr 26 10:05:27 BOT 2019","1139","","","","","","Set a ""Time Zone"" in a project with existent time zone",""
"passed","Fri Apr 26 10:01:57 BOT 2019","Fri Apr 26 10:01:59 BOT 2019","2288","","","","","","Create a new Epic with name",""
"passed","Fri Apr 26 10:04:23 BOT 2019","Fri Apr 26 10:04:26 BOT 2019","2793","","","","","","Delete a specific project",""
"passed","Fri Apr 26 10:05:36 BOT 2019","Fri Apr 26 10:05:38 BOT 2019","1334","","","","","","Delete a specific project",""
"passed","Fri Apr 26 10:02:08 BOT 2019","Fri Apr 26 10:02:10 BOT 2019","2430","","","","","","Create a new Epic with name two comments",""
"passed","Fri Apr 26 10:03:28 BOT 2019","Fri Apr 26 10:03:30 BOT 2019","2590","","","","","","Create a new Epic with name and empty description.",""
"passed","Fri Apr 26 10:01:55 BOT 2019","Fri Apr 26 10:01:57 BOT 2019","1910","","","","","","Create a membership for a account",""
"passed","Fri Apr 26 10:04:21 BOT 2019","Fri Apr 26 10:04:23 BOT 2019","1966","","","","","","Update the specific project",""
"passed","Fri Apr 26 10:02:58 BOT 2019","Fri Apr 26 10:03:02 BOT 2019","3153","","","","","","Create a new Epic with name, repeated label associate.",""
"passed","Fri Apr 26 10:02:36 BOT 2019","Fri Apr 26 10:02:37 BOT 2019","1878","","","","","","Create a new Epic with null name",""
"passed","Fri Apr 26 10:04:46 BOT 2019","Fri Apr 26 10:04:47 BOT 2019","1001","","","","","","Update the boolean the param of ""automatic_planning"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:04:56 BOT 2019","Fri Apr 26 10:04:57 BOT 2019","1181","","","","","","Update the boolean of the param of ""public"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:02:10 BOT 2019","Fri Apr 26 10:02:16 BOT 2019","5886","","","","","","Create a new Epic related to after Epic",""
"passed","Fri Apr 26 10:04:57 BOT 2019","Fri Apr 26 10:04:58 BOT 2019","1105","","","","","","Update the integer field of the param of ""iteration_length"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:03:30 BOT 2019","Fri Apr 26 10:03:33 BOT 2019","2207","","","","","","Create a new Epic with long name, long description and long label.",""
"passed","Fri Apr 26 10:05:32 BOT 2019","Fri Apr 26 10:05:34 BOT 2019","1910","","","","","","Access the content of a specific project",""
"failed","Fri Apr 26 10:01:49 BOT 2019","Fri Apr 26 10:01:50 BOT 2019","703","","","","","","Get account by id invalid -- @1.2 ",""
"passed","Fri Apr 26 10:03:54 BOT 2019","Fri Apr 26 10:03:57 BOT 2019","3196","","","","","","Update Epic long description, long name label and long name epic",""
"passed","Fri Apr 26 10:06:21 BOT 2019","Fri Apr 26 10:06:27 BOT 2019","6002","","","","","","Get a workspace by id",""
"passed","Fri Apr 26 10:04:34 BOT 2019","Fri Apr 26 10:04:36 BOT 2019","1548","","","","","","Update the week start day of project with all of days of the week -- @1.5 ",""
"passed","Fri Apr 26 10:01:38 BOT 2019","Fri Apr 26 10:01:40 BOT 2019","1760","","","","","","Get a account by id",""
"passed","Fri Apr 26 10:02:05 BOT 2019","Fri Apr 26 10:02:08 BOT 2019","2328","","","","","","Create a new Epic with name gral",""
"passed","Fri Apr 26 10:02:55 BOT 2019","Fri Apr 26 10:02:57 BOT 2019","1954","","","","","","Create a new Epic with name and numeric value description.",""
"passed","Fri Apr 26 10:02:50 BOT 2019","Fri Apr 26 10:02:53 BOT 2019","2407","","","","","","Create a new Epic with name and the comments with numeric value",""
"failed","Fri Apr 26 10:01:50 BOT 2019","Fri Apr 26 10:01:50 BOT 2019","476","","","","","","Get account by id invalid -- @1.3 ",""
"passed","Fri Apr 26 10:03:18 BOT 2019","Fri Apr 26 10:03:20 BOT 2019","2359","","","","","","Create a new Epic with long name",""
"passed","Fri Apr 26 10:05:24 BOT 2019","Fri Apr 26 10:05:26 BOT 2019","1434","","","","","","Update the Week start day with Start_date in the project -- @1.7 ",""
"passed","Fri Apr 26 10:05:58 BOT 2019","Fri Apr 26 10:05:59 BOT 2019","1177","","","","","","Get Stories by Id for bullk",""
"passed","Fri Apr 26 10:05:21 BOT 2019","Fri Apr 26 10:05:24 BOT 2019","2760","","","","","","Update the Week start day with Start_date in the project -- @1.6 ",""
"passed","Fri Apr 26 10:02:46 BOT 2019","Fri Apr 26 10:02:48 BOT 2019","1803","","","","","","Create a new Epic with the numeric name",""
"passed","Fri Apr 26 10:05:12 BOT 2019","Fri Apr 26 10:05:13 BOT 2019","1078","","","","","","Update the parameter of ""project_type"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:02:37 BOT 2019","Fri Apr 26 10:02:39 BOT 2019","2037","","","","","","Create a new Epic with empty name",""
"passed","Fri Apr 26 10:03:08 BOT 2019","Fri Apr 26 10:03:11 BOT 2019","2879","","","","","","Update Epic numerical name",""
"failed","Fri Apr 26 10:01:48 BOT 2019","Fri Apr 26 10:01:49 BOT 2019","500","","","","","","Get account by id invalid -- @1.1 ",""
"passed","Fri Apr 26 10:04:47 BOT 2019","Fri Apr 26 10:04:50 BOT 2019","2778","","","","","","Update the boolean the param of ""automatic_planning"" of project -- @1.2 ",""
"failed","Fri Apr 26 10:05:41 BOT 2019","Fri Apr 26 10:05:42 BOT 2019","534","","","","","","Post Stories by by id of project",""
"passed","Fri Apr 26 10:05:01 BOT 2019","Fri Apr 26 10:05:02 BOT 2019","1203","","","","","","Update the integer param of ""initial_velocity"" of project -- @1.2 ",""
"passed","Fri Apr 26 10:04:50 BOT 2019","Fri Apr 26 10:04:51 BOT 2019","1183","","","","","","Set a ""Description"" in a project with the maximum characters [140]",""
"passed","Fri Apr 26 10:02:34 BOT 2019","Fri Apr 26 10:02:36 BOT 2019","1826","","","","","","Create a new Epic with boolean name",""
"passed","Fri Apr 26 10:04:44 BOT 2019","Fri Apr 26 10:04:45 BOT 2019","1202","","","","","","Update the boolean the param of ""bugs_and_chores_are_estimatable"" of project -- @1.1 ",""
"passed","Fri Apr 26 10:05:20 BOT 2019","Fri Apr 26 10:05:21 BOT 2019","1519","","","","","","Update the Week start day with Start_date in the project -- @1.5 ",""
"passed","Fri Apr 26 10:04:17 BOT 2019","Fri Apr 26 10:04:19 BOT 2019","1376","","","","","","Create a new empty project",""
"passed","Fri Apr 26 10:05:08 BOT 2019","Fri Apr 26 10:05:09 BOT 2019","1218","","","","","","Update the boolean of the param of ""atom_enabled"" of project -- @1.2 ",""
"failed","Fri Apr 26 10:02:43 BOT 2019","Fri Apr 26 10:02:46 BOT 2019","3349","","","","","","Create a new Epic with name with spaces",""
"passed","Fri Apr 26 10:03:11 BOT 2019","Fri Apr 26 10:03:14 BOT 2019","3377","","","","","","Update Epic boolean name",""
"passed","Fri Apr 26 10:03:33 BOT 2019","Fri Apr 26 10:03:37 BOT 2019","4343","","","","","","Create a new Epic with name, long comments",""
